NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 이도이동,1166-1,1166,1,길용파크빌라트,99.18,202412,31,"25,000",-,6,개인,개인,2003,동광로 56,-,직거래,-,24.12.31
2,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202412,31,"32,800",206,8,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.04.23
3,제주특별자치도 제주시 일도이동,321-19,321,19,일도더팰리스,82.22,202412,31,"39,000",-,3,개인,개인,2023,고마로9길 3,-,중개거래,제주 제주시,25.01.13
4,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.82,202412,31,"49,000",109,6,개인,개인,2010,하귀9길 45,-,중개거래,제주 제주시,25.01.17
5,제주특별자치도 제주시 도련이동,548,548,0,제주삼화사랑으로부영1차,84.3616,202412,30,"52,500",105,3,개인,개인,2013,화삼북로 136,-,중개거래,제주 제주시,25.02.28
6,제주특별자치도 제주시 연동,314-90,314,90,고정아파트,84.76,202412,30,"51,000",-,5,개인,개인,2016,선덕로 26,-,중개거래,제주 제주시,-
7,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,75.65,202412,30,"57,000",211,9,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,25.01.10
8,제주특별자치도 제주시 연동,257,257,0,디지털한빛,79.9929,202412,30,"47,000",디지털한빛아파트 102,1,개인,개인,2005,연동4길 32,-,중개거래,제주 제주시,25.02.18
9,제주특별자치도 제주시 노형동,732-1,732,1,해오름,59.56,202412,30,"55,000",105,6,개인,개인,2001,연화로 16,-,중개거래,제주 제주시,24.12.31
10,제주특별자치도 제주시 연동,300-3,300,3,남해오네뜨,32.39,202412,28,"18,500",-,8,개인,개인,2019,삼무로11길 9,-,중개거래,제주 제주시,25.02.26
11,제주특별자치도 제주시 노형동,731-1,731,1,현대아이파크,75.05,202412,28,"63,700",101,8,개인,개인,2001,원노형로 90,-,중개거래,제주 제주시,25.02.28
12,제주특별자치도 제주시 구좌읍 세화리,3647,3647,0,라메르힐,72.3458,202412,28,"25,900",-,4,개인,개인,2017,세화3길 27,-,중개거래,제주 제주시,25.02.04
13,제주특별자치도 제주시 일도이동,321-19,321,19,일도더팰리스,88.82,202412,27,"58,450",-,9,개인,개인,2023,고마로9길 3,-,직거래,-,25.01.24
