구,동내,단지명,동,계약년월,계약일,거래금액(만원),등기일자
제주시,이도이동,길용파크빌라트,-,202412,31,25000,24.12.31
제주시,노형동,부영2차,206,202412,31,32800,25.04.23
제주시,일도이동,일도더팰리스,-,202412,31,39000,25.01.13
제주시,애월읍,제주하귀휴먼시아1단지,109,202412,31,49000,25.01.17
제주시,도련이동,제주삼화사랑으로부영1차,105,202412,30,52500,25.02.28
제주시,연동,고정아파트,-,202412,30,51000,-
제주시,노형동,노형뜨란채,211,202412,30,57000,25.01.10
제주시,연동,디지털한빛,디지털한빛아파트 102,202412,30,47000,25.02.18
제주시,노형동,해오름,105,202412,30,55000,24.12.31
제주시,연동,남해오네뜨,-,202412,28,18500,25.02.26
제주시,노형동,현대아이파크,101,202412,28,63700,25.02.28
제주시,구좌읍,라메르힐,-,202412,28,25900,25.02.04
제주시,일도이동,일도더팰리스,-,202412,27,58450,25.01.24
제주시,노형동,해오름,103,202412,27,51200,25.02.14
제주시,월평동,제주첨단꿈에그린3단지아파트,314동,202412,27,50000,25.03.07
제주시,삼양이동,제주삼화사랑으로부영5차,513,202412,27,52800,25.03.05
제주시,연동,제주세기,-,202412,27,38500,25.02.27
제주시,조천읍,광명샤인빌,106,202412,26,27800,25.03.04
제주시,연동,해월루,-,202412,26,6200,25.01.14
제주시,노형동,인텔리젼트한빛,-,202412,26,39800,25.02.28
제주시,연동,해월루,-,202412,25,6300,24.12.30
제주시,일도이동,일도캐슬휘닉스아파트,-,202412,24,30800,25.01.24
제주시,노형동,해오름,101,202412,24,32000,24.12.27
제주시,노형동,중흥에스클래스,102,202412,24,63000,25.01.06
제주시,조천읍,함덕천마에코피아,-,202412,24,15500,24.12.27
제주시,연동,예그린하우스텔,-,202412,23,8300,25.01.02
제주시,삼양이동,제주삼화사랑으로부영3차,305,202412,23,45500,25.02.20
제주시,삼양이동,제주삼화사랑으로부영3차,-,202412,23,45500,-
제주시,삼양이동,제주삼화사랑으로부영3차,-,202412,23,45500,-
제주시,도남동,송화,-,202412,23,21600,25.01.24
제주시,도남동,송화,-,202412,23,21600,-
제주시,노형동,노형해모로루엔,101동,202412,23,85000,25.01.03
제주시,애월읍,제주하귀휴먼시아1단지,107,202412,23,41200,25.02.14
제주시,화북이동,제주삼화사랑으로부영2차,204,202412,22,53000,25.02.21
제주시,건입동,건입미화,가,202412,21,21500,25.01.21
제주시,노형동,노형벽강하이본타워7차,-,202412,20,54700,25.02.26
제주시,화북이동,부웅크리스탈6차아파트,나동,202412,20,31500,25.02.05
제주시,용담이동,용두암현대3,3동,202412,20,26000,25.01.10
제주시,외도일동,해마루풍경102동,-,202412,20,19000,25.01.09
제주시,노형동,재영윈저캐슬,-,202412,20,15000,25.01.31
제주시,일도이동,예그린하우스텔5차,-,202412,19,13400,24.12.30
제주시,노형동,노형뜨란채,207,202412,19,56000,25.02.17
제주시,노형동,대원상록수5차,101,202412,19,37800,25.02.14
제주시,외도일동,외도부영1차,103,202412,19,17900,25.01.03
제주시,아라일동,아라원신,103,202412,19,46000,25.03.31
제주시,일도이동,예그린하우스텔5차,-,202412,19,13400,24.12.30
제주시,연동,연동뜨레모아,-,202412,19,59000,25.03.26
제주시,아라일동,아라천일,가,202412,19,20000,24.12.26
제주시,일도이동,예그린하우스텔5차,-,202412,19,13400,24.12.30
제주시,외도일동,부영(2차),부영아파트 202,202412,19,39400,25.01.17
제주시,연동,연동한일씨티파크,-,202412,18,43000,-
제주시,외도일동,외도타워,-,202412,18,31000,25.02.04
제주시,연동,연동엘리시아3차,-,202412,18,37000,25.02.05
제주시,일도이동,대유대림아파트,제주대유대림아파트 304,202412,18,56500,25.02.05
제주시,용담일동,한라더카운티,-,202412,18,36000,25.02.07
제주시,용담일동,한라더카운티,-,202412,18,36000,-
제주시,일도이동,삼화,가,202412,17,22750,25.02.17
제주시,일도이동,일도수선화,일도수선화아파트 나,202412,17,22000,25.01.10
제주시,연동,청목더웰연동,-,202412,17,7400,25.01.07
제주시,일도이동,일도신천지,105,202412,17,26500,25.02.24
제주시,애월읍,제주하귀휴먼시아1단지,110,202412,16,45600,25.02.17
제주시,삼양이동,동명,나,202412,16,25000,25.01.15
제주시,노형동,부영5차,502,202412,16,66000,25.01.15
제주시,연동,신동부삼무3차,-,202412,16,14500,25.01.23
제주시,일도이동,인화리치빌,-,202412,16,30700,24.12.16
제주시,건입동,해한아모르빌,-,202412,16,21000,24.12.30
제주시,월평동,제주첨단꿈에그린2단지아파트,-,202412,15,49900,-
제주시,아라일동,염광,5,202412,14,19800,25.01.24
제주시,외도일동,외도부영1차,106,202412,14,27450,24.12.19
제주시,삼도일동,아산플라자,-,202412,14,32750,25.02.13
제주시,노형동,부영2차,205,202412,13,30800,24.12.19
제주시,외도일동,외도부영1차,103,202412,13,20000,25.01.15
제주시,외도일동,외도부영1차,102,202412,12,15970,24.12.13
제주시,이도이동,주공1,105,202412,12,67000,25.02.28
제주시,노형동,중흥에스클래스,-,202412,12,52500,-
제주시,노형동,노형이-편한세상,101동,202412,12,92000,25.02.21
제주시,노형동,중흥에스클래스,106,202412,12,52500,25.01.17
제주시,연동,코스모스태홍누리안5차,-,202412,12,45000,25.02.13
제주시,월평동,제주첨단꿈에그린2단지아파트,-,202412,11,49950,-
제주시,이도이동,영도갤럭시타운,-,202412,11,10800,24.12.19
제주시,화북일동,삼부빌라,-,202412,11,13900,25.02.06
제주시,월평동,제주첨단꿈에그린2단지아파트,208동,202412,11,49950,25.01.31
제주시,일도이동,일도캐슬휘닉스아파트,-,202412,10,41000,25.02.28
제주시,삼양이동,제주삼화사랑으로부영3차,308,202412,10,54800,25.02.19
제주시,연동,대림이편한세상1차,106,202412,10,71800,25.01.10
제주시,외도일동,외도부영1차,105,202412,10,21000,25.01.09
제주시,도남동,도남2차e-편한세상,도남2차e-편한세상 204,202412,10,69000,24.12.19
제주시,일도이동,삼부장미주상,-,202412,10,11500,24.12.18
제주시,삼도이동,JNC패밀리3차,-,202412,10,32000,-
제주시,용담일동,한라더카운티,-,202412,10,36000,25.01.09
제주시,외도일동,외도부영1차,101,202412,10,20000,24.12.10
제주시,한림읍,남건휴먼스3차,-,202412,10,16000,25.01.21
제주시,아라일동,아라스위첸,106,202412,9,83500,24.12.26
제주시,도련이동,제주삼화사랑으로부영1차,-,202412,9,46900,-
제주시,연동,라이오니파크1차,-,202412,9,23000,24.12.10
제주시,삼도일동,삼성뜨래별,-,202412,9,38500,25.03.10
제주시,도남동,도남해모로리치힐아파트,104동,202412,9,58000,25.01.23
제주시,연동,제원3차,2,202412,9,34700,25.01.08
제주시,도련이동,제주삼화사랑으로부영1차,101,202412,9,46900,25.01.23
제주시,연동,연동태홍누리안3차,-,202412,9,32500,25.02.03
제주시,화북일동,"화북주공2,3단지",화북2아파트213,202412,9,26500,24.12.11
제주시,연동,제주세기,-,202412,9,36000,25.02.18
제주시,삼양이동,제주삼화사랑으로부영5차,513,202412,9,53900,25.01.15
제주시,노형동,해오름,102,202412,9,55000,25.02.12
제주시,도남동,도남해모로리치힐아파트,-,202412,8,62500,-
제주시,도남동,도남해모로리치힐아파트,102동,202412,8,80000,25.01.24
제주시,연동,남경하이빌,-,202412,8,25000,25.02.03
제주시,조천읍,쉬젠비아채,다동,202412,8,30000,25.02.05
제주시,도남동,도남해모로리치힐아파트,101동,202412,8,62500,25.01.24
제주시,도남동,성원1,-,202412,7,14600,25.01.22
제주시,노형동,노형해모로루엔,101동,202412,7,76000,25.04.30
제주시,조천읍,다온팰리스아파트,비동,202412,7,21500,25.01.07
제주시,이호이동,성지휴캐슬,-,202412,7,33800,25.01.09
제주시,이도이동,주공2차,201,202412,7,38500,25.01.22
제주시,일도이동,일도더팰리스,-,202412,6,40000,25.02.05
제주시,일도이동,일도더팰리스,-,202412,6,40000,-
제주시,월평동,제주첨단꿈에그린2단지아파트,212동,202412,6,53000,24.12.06
제주시,일도이동,일도더팰리스,-,202412,6,40000,-
제주시,연동,타워프로빌,-,202412,6,58000,25.02.11
제주시,연동,라이오니파크1차,-,202412,6,22800,24.12.06
제주시,외도일동,외도부영1차,105,202412,5,16300,25.01.03
제주시,연동,가완에어텔,-,202412,5,6800,24.12.10
제주시,일도이동,일도1차대림,103,202412,5,30000,24.12.06
제주시,이도이동,영도갤럭시타운,-,202412,5,11700,25.01.31
제주시,연동,미도스카이빌,-,202412,5,7200,24.12.19
제주시,외도일동,해마루풍경102동,-,202412,5,27000,24.12.26
제주시,조천읍,광명샤인빌,106,202412,4,28300,25.01.21
제주시,노형동,부영1차,101,202412,4,69000,25.01.31
제주시,이도이동,부양장미2차,-,202412,4,18000,25.02.06
제주시,도련일동,다호예그린1차,-,202412,4,28800,25.01.22
제주시,이도이동,주공3,305,202412,4,35000,24.12.13
제주시,건입동,흥남한아름,-,202412,4,17000,25.01.13
제주시,한림읍,제주한림코아루,102동,202412,3,29800,24.12.19
제주시,일도이동,혜성대유,103,202412,3,27500,25.01.13
제주시,외도일동,부영(2차),부영아파트 201,202412,3,43000,25.01.24
제주시,화북이동,제주삼화엘에이치2단지,204,202412,3,61000,25.02.18
제주시,일도이동,삼부장미주상,-,202412,3,11200,24.12.13
제주시,연동,동경원룸,-,202412,3,4200,24.12.30
제주시,노형동,해한아모르빌2차,-,202412,3,31700,24.12.27
제주시,외도일동,가인힐,-,202412,3,24000,25.01.22
제주시,연동,가완에어텔,-,202412,2,6500,24.12.03
